회사명,"수수료
부과기준",기준일자,거래금액,구분,증권사지점개설계좌,증권사지점개설계좌,증권사지점개설계좌,증권사지점개설계좌,은행개설계좌,은행개설계좌,은행개설계좌,은행개설계좌,비고
회사명,"수수료
부과기준",기준일자,거래금액,구분,오프라인,온라인,온라인,온라인,오프라인,온라인,온라인,온라인,비고
회사명,"수수료
부과기준",기준일자,거래금액,구분,오프라인,HTS,ARS,스마트폰,오프라인,HTS,ARS,스마트폰,비고
미래에셋증권,/img/sub/ico_pdf.gif,2017/01/02,100만원,변경율,-0.01408,-0.46565,-0.28934,-0.28934,-0.01408,0.,-0.92893,0.,
다올투자증권,/img/sub/ico_pdf.gif,2017/01/02,100만원,변경전,"4,990.",100.,"1,500.",100.,"4,990.",150.,"1,500.",150.,
리딩투자증권,/img/sub/ico_pdf.gif,2017/04/01,100만원,변경후,"5,000.",,,,"5,000.",,,,
리딩투자증권,/img/sub/ico_pdf.gif,2017/04/01,100만원,변경율,0.,,,,0.,,,,
NH투자증권,/img/sub/ico_pdf.gif,2017/05/04,100만원,변경전,"4,970.","2,440.","2,470.","2,470.","4,970.",140.,"2,470.",140.,
KB증권,/img/sub/ico_pdf.gif,2017/09/27,100만원,변경전,,,,,,,,,
다올투자증권,/img/sub/ico_pdf.gif,2018/03/12,100만원,변경후,"4,990.",150.,"1,500.",150.,"4,990.",150.,"1,500.",150.,
다올투자증권,/img/sub/ico_pdf.gif,2018/03/12,100만원,변경율,0.,0.5,0.,0.5,0.,0.,0.,0.,
비엔피파리바증권,/img/sub/ico_pdf.gif,2018/06/29,100만원,변경전,"3,900.",,,,,,,,일괄적용 선택 시
코리아에셋투자증권,/img/sub/ico_hwp.gif,2019/04/10,100만원,변경후,"1,000.",,,,,,,,
코리아에셋투자증권,/img/sub/ico_hwp.gif,2019/04/10,100만원,변경율,-0.79592,,,,,,,,
상상인증권,/img/sub/ico_doc.gif,2019/08/26,100만원,변경전,"4,900.","1,400.","2,000.","1,400.","4,900.","1,400.","2,000.","1,400.",
비엔피파리바증권,/img/sub/ico_pdf.gif,2020/02/03,100만원,변경후,"3,000.",,,,,,,,
비엔피파리바증권,/img/sub/ico_pdf.gif,2020/02/03,100만원,변경율,-0.23077,,,,,,,,
상상인증권,/img/sub/ico_doc.gif,2020/04/23,100만원,변경후,"4,900.","1,400.","2,000.","1,400.","4,900.","1,400.","2,000.","1,400.",
상상인증권,/img/sub/ico_doc.gif,2020/04/23,100만원,변경율,0.,0.,0.,0.,0.,0.,0.,0.,
NH투자증권,/img/sub/ico_pdf.gif,2020/06/10,100만원,변경후,"4,972.","2,442.","2,472.","2,472.","4,972.","2,442.","2,472.","2,472.",NAMUH 100
NH투자증권,/img/sub/ico_pdf.gif,2020/06/10,100만원,변경율,0.0004,0.00082,0.00081,0.00081,0.0004,16.44286,0.00081,16.65714,
한국투자증권,/img/sub/ico_pdf.gif,2020/06/12,100만원,변경전,,,"2,471.",,,,,,
유진투자증권,/img/sub/ico_xls.gif,2020/06/17,100만원,변경후,"5,000.","2,500.","2,000.","1,500.","5,000.",150.,"2,000.",150.,
유진투자증권,/img/sub/ico_xls.gif,2020/06/17,100만원,변경율,,,,,,,,0.,
비엔케이투자증권,/img/sub/ico_pdf.gif,2020/08/24,100만원,변경후,"4,492.","1,992.",,"1,500.","4,492.",142.,,"1,500.",
비엔케이투자증권,/img/sub/ico_pdf.gif,2020/08/24,100만원,변경율,,,,0.,,,,0.,
메리츠증권,/img/sub/ico_pdf.gif,2020/09/14,100만원,변경전,"4,944.","2,844.","1,944.","2,844.","4,944.","2,844.","1,944.","2,844.",
